Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1478151840,744.0,744.0,744.0,744.0,0.04,29.76,744.0
1478155440,743.0,743.0,742.23,742.23,1.37058015,1017.2987947,742.2395507
1478159040,733.66,733.72,731.53,733.72,5.010679,3671.5430189000003,732.74360997
1478162640,736.88,736.89,736.88,736.89,5.12209158,3774.3679884000003,736.88022353
1478166240,737.1,737.1,737.1,737.1,0.10421291,76.815335961,737.1
1478169840,737.92,737.92,737.92,737.92,5.3678,3961.0069759999997,737.92
1478173440,742.52,742.76,740.32,742.0,41.41247935,30746.592673000003,742.4475219999999
1478177040,740.97,741.1,740.97,741.1,10.62035176,7869.610996699999,740.99344113
1478180640,731.12,731.22,731.12,731.22,0.24610584,179.93490174,731.12812658
1478184240,729.06,729.43,729.06,729.43,7.46,5439.7611076,729.1904969999999
1478187840,710.0,710.85,707.0,707.0,15.88068211,11240.671234,707.82042965
1478191440,711.97,711.97,711.97,711.97,0.24755716,176.25327121,711.97
1478195040,710.4,710.4,710.4,710.4,0.3434,243.95136000000002,710.4
1478198640,679.1,680.57,678.11,680.0,28.61666832,19453.986741999997,679.81312586
1478202240,701.1,701.1,699.99,700.0,17.40096196,12186.092234,700.31141164
1478205840,698.8,700.0,698.8,700.0,0.42717780000000005,298.97646000000003,699.88763461
1478209440,691.02,692.22,691.02,692.22,0.11443515,79.19697735300001,692.06862885
1478213040,688.95,689.0,684.1,684.13,25.5754045,17532.617494,685.52649849
1478216640,686.2,686.53,686.13,686.53,2.75525049,1890.6976989,686.21626446
1478220240,698.36,700.43,698.36,699.99,8.12488587,5688.773513100001,700.16657515
1478223840,699.01,699.01,699.01,699.01,0.0204,14.259804,699.01
1478227440,698.21,698.35,698.21,698.35,0.24982902,174.44796005,698.26940063
1478231040,698.0,698.0,698.0,698.0,0.31850581,222.31705538,698.0
1478234640,700.01,700.01,699.22,699.23,7.43174055,5200.089524800001,699.71354487
1478238240,700.9,700.99,700.9,700.99,3.08345667,2161.4171460000002,700.97211583
1478241840,690.26,692.75,689.28,692.75,1.075,744.466,692.52651163
1478245440,696.65,696.91,696.65,696.91,3.6656541,2554.6049988,696.90290713
1478249040,701.76,701.76,701.76,701.76,2.0096,1410.256896,701.76
1478252640,701.02,702.84,701.02,701.02,2.02390012,1420.2307589000002,701.72966782
1478256240,703.52,703.52,703.52,703.52,0.45799999999999996,322.21216,703.52
1478259840,704.93,706.06,704.93,704.93,12.03989869,8497.258069399999,705.75826992
1478263440,702.35,702.35,702.35,702.35,1.70429273,1197.0099989,702.35
1478267040,705.0,705.0,703.84,705.0,7.4522699999999995,5252.9668689,704.88144806
1478270640,694.11,694.5,694.11,694.5,2.68897481,1867.1470754999998,694.37135246
1478274240,690.8,690.8,690.8,690.8,0.319,220.3652,690.8
1478277840,690.9,690.91,690.89,690.89,17.09863592,11813.542015,690.90552428
1478281440,690.42,690.42,690.42,690.42,0.04332091,29.909622682,690.42
1478285040,693.05,693.05,692.67,692.67,0.42814829,296.72507603,693.04276804
1478288640,692.64,692.64,692.64,692.64,7.32321666,5072.3527874,692.64
1478292240,695.96,695.96,695.96,695.96,0.7298892,507.97368763,695.96
1478295840,694.83,695.19,693.99,695.19,2.37734458,1650.3069457999998,694.18079303
1478299440,697.85,698.03,697.53,697.53,9.31326792,6500.333796,697.96486602
1478303040,702.38,702.42,702.38,702.42,0.3536,248.36323199999998,702.38470588
1478306640,702.99,702.99,702.99,702.99,0.26558865,186.70616506,702.99
1478310240,700.22,700.22,700.22,700.22,0.03513027,24.598917659,700.22
1478313840,699.61,699.61,699.61,699.61,0.71186,498.02437460000004,699.61
1478317440,701.06,702.9,701.05,701.17,12.73522113,8947.590092299999,702.58615857
1478321040,701.31,701.31,701.31,701.31,2.10744702,1477.9736695999998,701.31
1478324640,703.16,703.16,703.16,703.16,0.01139068,8.0094705488,703.16
1478328240,700.07,700.07,700.07,700.07,0.5,350.035,700.07
1478331840,702.04,702.04,702.04,702.04,0.04701365,33.005462846,702.04
1478335440,703.56,703.56,703.56,703.56,1.45192994,1021.5198286,703.56
1478339040,704.89,704.99,704.89,704.99,5.0,3524.9432361,704.98864722
1478342640,704.98,705.0,704.14,704.16,13.73023842,9678.645457999999,704.91459521
1478346240,702.0,702.0,701.91,701.91,5.72907833,4021.3004757,701.91054198
1478349840,702.99,702.99,702.99,702.99,0.21304712,149.76999489,702.99
1478353440,698.23,698.23,697.22,698.0,9.00444705,6285.8384969,698.08156592
1478357040,696.41,696.41,695.31,695.31,0.36925852,256.7873263,695.41340927
1478360640,700.0,700.0,700.0,700.0,1.95847323,1370.931261,700.0
1478364240,701.02,701.02,700.09,700.09,1.709,1197.04461,700.43569924
1478367840,701.32,701.32,701.32,701.32,0.0474679,33.290187628000005,701.32
1478371440,702.01,702.01,702.01,702.01,0.0386,27.097586,702.01
1478375040,704.17,704.17,702.38,702.39,5.10636618,3595.4695405,704.11510138
1478378640,703.56,703.56,703.56,703.56,0.01601853,11.269996967,703.56
1478382240,703.47,703.47,703.47,703.47,0.029151599999999996,20.507276052,703.47
1478385840,702.0,702.0,702.0,702.0,0.1,70.2,702.0
1478389440,703.19,703.29,703.19,703.29,0.17867884,125.64845204,703.20834876
1478393040,702.02,702.02,702.02,702.02,0.03285159,23.062473211999997,702.02
1478396640,703.76,703.76,703.0,703.0,0.23405744,164.70843201,703.70944847
1478400240,702.38,702.38,702.38,702.38,0.19971036,140.27256266,702.38
1478403840,710.9,711.33,710.9,711.33,0.42075126,299.24999378,711.22780185
1478407440,711.5,711.5,711.5,711.5,0.15008558,106.78589017,711.5
1478411040,711.6,711.6,711.6,711.6,0.72278,514.3302480000001,711.6
1478414640,711.31,711.31,711.31,711.31,0.01,7.1131,711.31
1478418240,709.31,709.33,709.04,709.33,0.38,269.4901,709.18447368
1478421840,710.0,710.0,710.0,710.0,0.0071,5.041,710.0
1478425440,706.34,710.18,706.33,710.18,0.26275902,186.55755897,709.99488035
1478429040,709.0,709.0,709.0,709.0,0.24,170.16,709.0
1478432640,711.56,711.56,711.56,711.56,0.07931386,56.436570222,711.56
1478436240,711.75,711.75,711.75,711.75,0.07493261,53.333285168,711.75
1478439840,706.32,706.32,706.32,706.32,0.01412957,9.9799978824,706.32
1478443440,703.86,703.86,703.86,703.86,0.3334,234.66692400000002,703.86
1478447040,700.49,700.49,700.0,700.01,1.23310939,863.50505922,700.26638855
1478450640,702.91,702.91,702.91,702.91,0.29818,209.59370380000001,702.91
1478454240,703.81,705.5,703.76,705.5,7.09166432,4991.1463786,703.80465761
1478457840,704.98,704.98,704.98,704.98,0.49209200000000003,346.91501816,704.98
1478461440,704.95,704.95,704.95,704.95,0.1,70.495,704.95
1478465040,705.5,705.5,705.5,705.5,0.03580279,25.258868345,705.5
1478468640,706.62,706.8,706.62,706.8,0.72216045,510.38347986,706.74526673
1478472240,707.58,707.58,707.58,707.58,0.33766246,238.92320345,707.58
1478475840,710.0,710.0,708.46,708.46,0.09991695,70.912810997,709.71753038
1478479440,707.38,707.38,707.38,707.38,0.034,24.05092,707.38
1478483040,700.24,700.24,700.24,700.24,0.51081,357.6895944,700.24
1478486640,702.77,702.77,702.77,702.77,0.2,140.554,702.77
1478490240,705.52,705.52,705.52,705.52,0.07375511,52.035705207,705.52
1478493840,700.89,700.89,700.89,700.89,0.11,77.0979,700.89
1478497440,706.64,706.64,706.64,706.64,0.11089188,78.360638083,706.64
1478501040,705.39,705.39,705.39,705.39,1.49306005,1053.1896287,705.39
1478504640,707.72,707.72,707.72,707.72,0.2642,186.979624,707.72
1478508240,704.51,704.51,704.51,704.51,0.01,7.0451,704.51
1478511840,704.44,704.44,704.44,704.44,0.09393,66.16804920000001,704.44
1478515440,704.28,704.28,704.23,704.23,0.85905534,604.97999509,704.23867581
1478519040,703.95,703.95,703.95,703.95,0.13154000000000002,92.597583,703.95
1478522640,704.04,704.04,704.04,704.04,0.184,129.54336,704.04
1478526240,700.01,702.44,700.0,700.0,17.72382111,12424.552110999999,701.00866138
1478529840,701.03,701.03,701.03,701.03,0.13922542,97.601196183,701.03
1478533440,702.29,702.29,701.02,701.02,13.06733759,9176.5330769,702.24963683
1478537040,705.09,705.09,705.09,705.09,0.215,151.59435,705.09
1478540640,706.33,706.33,706.33,706.33,0.10203730000000001,72.072006109,706.33
